Model,Pollutant,RMSE,MAE,MAPE
Prophet,PM2.5,4.0,3.57,53.21
Prophet,PM10,4.85,4.05,60.16
Prophet,CO,0.12,0.11,33.08
Prophet,NO2,1.18,1.13,152.88
Prophet,SO2,9.41,7.67,40.16
Prophet,O3,0.01,0.0,25.58
SARIMA,PM2.5,3.5,2.49,22.13
SARIMA,PM10,1.15,0.98,14.82
SARIMA,CO,0.03,0.02,9.23
SARIMA,NO2,0.36,0.31,78.15
SARIMA,SO2,4.21,3.54,37.19
SARIMA,O3,0.01,0.01,33.65
XGBoost,PM2.5,2.34,1.91,17.02
XGBoost,PM10,1.85,1.45,20.97
XGBoost,CO,0.01,0.01,4.94
XGBoost,NO2,0.15,0.12,22.94
XGBoost,SO2,1.47,0.92,8.47
XGBoost,O3,0.0,0.0,6.41
XGBoost-Multivariate,PM2.5,4.4218,2.0655,33.77
XGBoost-Multivariate,PM10,3.8773,2.2565,23.96
XGBoost-Multivariate,CO,0.0471,0.034,14.68
XGBoost-Multivariate,SO2,0.6191,0.367,108.02
XGBoost-Multivariate,NO2,3.9213,3.0117,31.92
XGBoost-Multivariate,O3,0.0045,0.0036,13.54
